TIME,GDP,CPI,UNRATE,IR,BOP
2000,4.2,5.3,23,10.1105198135198000,-0.172
2001,2.7,5.7,26,9.6762731697784200,0.333
2002,3.7,9,27.8,11.1612678965895000,1.044
2003,2.9,5.9,27.7,10.6658739775589000,-1.447
2004,4.6,1.4,25.2,7.5330751554001600,-6.332
2005,5.3,3.4,24.7,6.9050317307692300,-8.063
2006,5.6,4.7,23.6,7.3388251807371400,-12.248
2007,5.4,7.1,23,9.1136957393988200,-16.121
2008,3.2,11,22.5,10.8073518399810000,-15.881
2009,-1.5,7.2,23.7,7.8488005816714200,-8.063
2010,3,4.2,24.9,6.4190630078657200,-5.576
2011,3.2,5,24.8,5.4877521692679300,-9.204
2012,2.4,5.6,24.9,5.2871863160122200,-20.371
2013,2.5,5.7,24.7,5.0782370303274300,-21.353
2014,1.4,6.1,25.1,5.7980916215293000,-18.321
2015,1.3,4.6,25.4,6.0522028295376100,-15.043
2016,0.7,6.3,26.7,7.2280795940170900,-8.656
2017,1.2,5.3,27.5,7.3318630315432100,-9.028
2018,1.6,4.6,27.1,7.1554430573029000,-11.865
2019,0.3,4.1,28.7,7.0842568195852000,-10.137
2020,-6.2,3.3,29.2,4.5456184271646200,6.653
2021,5,4.6,34.3,3.7838104655578300,15.533
2022,1.9,6.9,33.5,5.0637481203007500,-2.035
2023,0.7,5.9,33.1,7.9359713451037000,-6.074
2024,1.1,4.7,33.7,7.7500000000000000,-6.638
