TIME,GDP,CPI,UNRATE,IR,BOP
2000 Q1,2.7,3.2401780,4.0,5.68,-94772
2000 Q2,2.5,3.3293220,3.9,6.27,-96392
2000 Q3,2.4,3.5080730,4.0,6.52,-104474
2000 Q4,2.2,3.4271000,3.9,6.47,-106279
2001 Q1,2.7,3.3934880,4.2,5.60,-107136
2001 Q2,2.4,3.3773290,4.4,4.33,-95251
2001 Q3,1.6,2.6959370,4.8,3.50,-103435
2001 Q4,1.3,1.8578820,5.5,2.13,-88263
2002 Q1,1.3,1.2521340,5.7,1.73,-102608
2002 Q2,1.4,1.2955310,5.8,1.75,-114669
2002 Q3,1.9,1.5938500,5.7,1.74,-114854
2002 Q4,2.3,2.2000750,5.9,1.44,-123975
2003 Q1,2.0,2.8667790,5.9,1.25,-135362
2003 Q2,1.4,2.1316030,6.1,1.25,-129336
2003 Q3,2.3,2.1963830,6.1,1.02,-130105
2003 Q4,2.5,1.8951240,5.8,1.00,-127490
2004 Q1,2.9,1.7850640,5.7,1.00,-136989
2004 Q2,3.3,2.8675140,5.6,1.01,-156109
2004 Q3,2.6,2.7271080,5.4,1.43,-161502
2004 Q4,3.1,3.3224990,5.4,1.95,-181291
2005 Q1,3.2,3.0422330,5.3,2.47,-170824
2005 Q2,2.9,2.9463660,5.1,2.94,-180642
2005 Q3,3.7,3.8326300,5.0,3.46,-188193
2005 Q4,3.3,3.7399510,5.0,3.98,-209573
2006 Q1,2.9,3.6471000,4.7,4.45,-199506
2006 Q2,3.5,4.0102830,4.6,4.91,-204953
2006 Q3,2.8,3.3355910,4.6,5.25,-218442
2006 Q4,1.4,1.9373320,4.4,5.24,-193746
2007 Q1,3.9,2.4240950,4.5,5.25,-200315
2007 Q2,2.8,2.6506840,4.5,5.25,-193334
2007 Q3,2.2,2.3604780,4.7,5.07,-175756
2007 Q4,1.6,3.9743840,4.8,4.50,-167144
2008 Q1,1.5,4.0954280,5.0,3.18,-182284
2008 Q2,2.0,4.3793850,5.3,2.08,-179816
2008 Q3,3.0,5.3028140,6.0,1.94,-178194
2008 Q4,1.0,1.6016870,6.9,0.51,-156229
2009 Q1,-0.3,-0.0402325,8.3,0.18,-99402
2009 Q2,-0.7,-1.1504450,9.3,0.18,-87089
2009 Q3,0.5,-1.6233600,9.6,0.15,-91384
2009 Q4,1.3,1.4439340,9.9,0.12,-101854
2010 Q1,1.2,2.3605250,9.8,0.13,-103034
2010 Q2,2.0,1.7677650,9.6,0.19,-111736
2010 Q3,1.2,1.1756090,9.5,0.19,-116619
2010 Q4,2.3,1.2702480,9.5,0.19,-100621
2011 Q1,2.1,2.1411270,9.0,0.15,-119236
2011 Q2,2.7,3.4303950,9.1,0.09,-119435
2011 Q3,2.4,3.7561740,9.0,0.08,-106860
2011 Q4,0.5,3.2937770,8.6,0.07,-109771
2012 Q1,2.4,2.8151920,8.3,0.10,-113912
2012 Q2,1.7,1.8897650,8.2,0.15,-110004
2012 Q3,2.2,1.6977840,8.0,0.14,-98866
2012 Q4,2.0,1.8893650,7.8,0.16,-95400
2013 Q1,1.6,1.6818290,7.7,0.14,-90923
2013 Q2,0.9,1.3928500,7.5,0.12,-89161
2013 Q3,2.0,1.5533590,7.2,0.09,-85392
2013 Q4,2.1,1.2334710,6.9,0.09,-74041
2014 Q1,1.5,1.4054560,6.7,0.07,-90914
2014 Q2,2.3,2.0508460,6.2,0.09,-87169
