TIME,GDP,CPI,UNRATE,IR,BOP
2000,6.8,-1.8,6.4,6,0.85
2001,6.9,-0.4,6.3,4.8,0.92
2002,7.1,3.8,6,4.8,-0.627
2003,7.3,3.1,5.8,5,-1.931
2004,7.8,7.8,5.6,5,-1.591
2005,7.5,8.3,5.3,5,-0.56
2006,7,7.7,4.8,6.5,-0.164
2007,7.1,8.4,4.6,6.5,-6.992
2008,5.7,23.3,2.4,10.25,-10.787
2009,5.4,6.7,2.9,8,-6.608
2010,6.4,9.1,2.9,9,-4.276
2011,6.4,18.7,2.2,15,0.233
2012,5.5,9.1,2,9,9.267
2013,5.6,6.6,2.2,7,7.744
2014,6.4,4.1,2.1,6.5,8.617
2015,7,0.6,2.3,6.5,-2.039
2016,6.7,2.7,2.3,6.5,0.625
2017,6.9,3.5,2.2,6.25,-1.651
2018,7.5,3.5,2.2,6.25,5.769
2019,7.4,2.8,2.2,6,12.477
2020,2.9,3.2,2.5,4,15.06
2021,2.6,1.8,3.2,4,-8.15
2022,8.1,3.2,2.3,6,1.404
2023,5,3.3,2,4.5,25.09
2024,6.1,4.1,2.1,4.25,14.031
